id,address,battery,ict,lamp,latitude,longitude,postalCode
190,"876 WOODLANDS STREET 83, WOODLANDS ZONE 3 RN, VOID DECK",1,1,1,1.434235,103.77553,730876
191,"862 WOODLANDS STREET 83, WOODLANDS ZONE 4 RN, #01-184, VOID DECK",1,1,1,1.434235,103.77553,730862
192,"611 WOODLANDS RING ROAD, WOODLANDS ZONE 7 RN, VOID DECK",1,1,1,1.435922,103.80045,730611
193,"638 WOODLANDS RING ROAD, WOODLANDS ZONE 8 RN, VOID DECK",1,1,1,1.435922,103.80045,730638
194,"656 WOODLANDS RING ROAD, WOODLANDS ZONE 9 RN, VOID DECK",1,1,1,1.43655,103.79968,730656
195,"20 CHOA CHU KANG STREET 52, YEW TEE CC, MAIN ATRIUM",1,1,1,1.394771,103.744791,689286
196,"624 CHOA CHU KANG STREET 62, YEW TEE SQUARE, REAR ENTRANCE",1,1,1,1.3979868,103.7469021,680622
197,"50 ANG MO KIO STREET 61, MAIN LOBBY",1,1,1,1.3814042,103.841416,569163
198,"90 BOON LAY WAY, MAIN LOBBY",1,1,1,1.33987495,103.73712,609958
199,"30 HENG MUI KENG TERRACE, LEVEL 1",1,1,1,1.29116295,103.7769202,119614
200,"20 AH HOOD ROAD, ZHONGSHAN MALL",1,1,1,1.326825,103.846559,329984
201,"12 KALLANG AVE, APERIA, #01-47",1,0,1,1.3097138,103.8638367,339511
202,"230 VICTORIA STREET, BUGIS JUNCTION, #B1-17",1,0,1,1.3001235,103.8560555,188021
203,"501 BUKIT TIMAH ROAD, CLUNY COURT, #01-02",1,0,1,1.322572,103.8141527,259760
204,"1 SENGKANG SQUARE, COMPASS ONE, #B1-25",1,0,1,1.392511,103.894936,545078
205,"1 KIM SENG PROMENADE, GREAT WORLD CITY, #B1-18",1,0,1,1.293229,103.832146,237994
206,"1 FIFTH AVENUE, GUTHRIE HOUSE, #01-05",1,0,1,1.330632,103.795748,268802
207,"4 HILLVIEW RISE, HILLVIEW MARKET PLACE, #02-07",1,0,1,1.3629674,103.7644875,667979
208,"293 HOLLAND ROAD, JELITA SHOPPING CENTRE, #01-01",1,0,1,1.3174854,103.7858609,278628
209,"5 STADIUM WALK, KALLANG LEISURE PARK, #B1-01",1,0,1,1.302409,103.876353,397693
210,"5 STRAITS VIEW, #B2-15",1,0,1,1.276776,103.852511,18935
211,"238 THOMSON ROAD, NOVENA SQUARE, #01-28",1,0,1,1.3204058,103.8437628,307683
212,"1 FUSIONOPOLIS WAY, ONE NORTH, #B2-03",1,0,1,1.2994693,103.787506,138632
213,"290 ORCHARD ROAD, #B1-21",1,0,1,1.303663,103.835558,238859
